area_name,area_code,population_max,population_max_0,population_max_1,population_max_2,population_max_3,population_max_4,population_max_5,population_max_6,population_max_7,population_max_8,population_max_9,population_max_10,population_man_max,population_man_0,population_man_1,population_man_2,population_man_3,population_man_4,population_man_5,population_man_6,population_man_7,population_man_8,population_man_9,population_man_10,population_woman_max,population_woman_0,population_woman_1,population_woman_2,population_woman_3,population_woman_4,population_woman_5,population_woman_6,population_woman_7,population_woman_8,population_woman_9,population_woman_10
서울특별시 중구 약수동,1114063500,16730,994,936,2004,2343,2394,2770,2723,1576,843,144,3,7806,498,476,949,1111,1174,1307,1260,691,301,38,1,8924,496,460,1055,1232,1220,1463,1463,885,542,106,2
서울특별시 중구 청구동,1114064500,13607,717,834,1863,2124,1851,2297,2059,1140,635,85,2,6439,373,414,895,1060,906,1095,986,454,233,22,1,7168,344,420,968,1064,945,1202,1073,686,402,63,1
서울특별시 중구 신당제5동,1114065000,10382,546,529,1651,1696,1536,1836,1369,817,357,43,2,5052,278,253,744,855,789,964,676,350,127,16,0,5330,268,276,907,841,747,872,693,467,230,27,2
서울특별시 중구 동화동,1114066500,10294,656,812,1335,1297,1489,1919,1516,749,448,64,9,4978,372,400,650,626,721,932,768,335,153,18,3,5316,284,412,685,671,768,987,748,414,295,46,6
서울특별시 중구 황학동,1114067000,12569,736,479,2121,2818,1798,1784,1555,880,336,61,1,5990,384,237,864,1399,901,899,755,411,125,15,0,6579,352,242,1257,1419,897,885,800,469,211,46,1
서울특별시 중구 중림동,1114068000,12023,978,726,1352,2107,2021,1914,1534,903,419,61,8,5977,505,380,658,988,1075,981,802,409,160,16,3,6046,473,346,694,1119,946,933,732,494,259,45,5
서울특별시 용산구 ,1117000000,223442,12737,14737,32880,37791,33840,36206,29160,16040,8562,1413,76,107486,6560,7460,15498,18714,16680,17877,14053,7014,3183,425,22,115956,6177,7277,17382,19077,17160,18329,15107,9026,5379,988,54
서울특별시 용산구 후암동,1117051000,16865,880,1178,2395,2788,2600,2728,2283,1282,616,105,10,8220,448,647,1200,1455,1269,1343,1068,559,201,28,2,8645,432,531,1195,1333,1331,1385,1215,723,415,77,8
서울특별시 용산구 용산2가동,1117052000,9482,318,491,1472,1683,1304,1396,1410,883,448,75,2,4594,163,256,779,871,676,657,627,390,155,19,1,4888,155,235,693,812,628,739,783,493,293,56,1
서울특별시 용산구 남영동,1117053000,7357,177,254,946,1020,1035,1587,1385,620,284,44,5,4473,96,145,436,558,645,1109,967,361,142,13,1,2884,81,109,510,462,390,478,418,259,142,31,4
서울특별시 용산구 청파동,1117055500,19519,631,1052,4246,3225,2592,3065,2477,1434,700,94,3,9159,312,557,1687,1724,1302,1524,1162,593,274,23,1,10360,319,495,2559,1501,1290,1541,1315,841,426,71,2
서울특별시 용산구 원효로제1동,1117056000,15971,1261,909,2451,3631,2588,2227,1678,813,355,55,3,7587,621,479,1019,1712,1308,1103,814,371,144,15,1,8384,640,430,1432,1919,1280,1124,864,442,211,40,2
서울특별시 용산구 원효로제2동,1117057000,13769,847,1173,1857,2124,2167,2264,1776,974,518,67,2,6484,420,485,855,1068,1071,1104,849,445,168,19,0,7285,427,688,1002,1056,1096,1160,927,529,350,48,2
서울특별시 용산구 효창동,1117058000,10071,739,699,1536,1842,1534,1589,1095,642,342,49,4,4763,376,369,706,896,732,752,517,270,126,18,1,5308,363,330,830,946,802,837,578,372,216,31,3
서울특별시 용산구 용문동,1117059000,11900,717,721,1771,1981,1721,1985,1568,963,413,57,3,5695,359,366,867,967,859,983,715,403,162,13,1,6205,358,355,904,1014,862,1002,853,560,251,44,2
서울특별시 용산구 한강로동,1117062500,21791,1236,989,3734,4791,2873,3434,2651,1295,670,112,6,10326,655,516,1559,2262,1403,1658,1348,602,285,37,1,11465,581,473,2175,2529,1470,1776,1303,693,385,75,5
서울특별시 용산구 이촌제1동,1117063000,25976,2487,2729,2707,3227,4472,4372,2907,1656,1178,232,9,12151,1320,1365,1325,1394,2016,2104,1406,692,446,80,3,13825,1167,1364,1382,1833,2456,2268,1501,964,732,152,6
서울특별시 용산구 이촌제2동,1117064000,8339,519,503,853,1375,1222,1339,1377,719,365,66,1,3905,259,243,430,684,614,616,620,309,119,11,0,4434,260,260,423,691,608,723,757,410,246,55,1
서울특별시 용산구 이태원제1동,1117065000,6429,218,265,1059,1103,831,1030,1003,520,322,73,5,3144,106,132,563,604,423,491,468,212,122,22,1,3285,112,133,496,499,408,539,535,308,200,51,4
서울특별시 용산구 이태원제2동,1117066000,9018,399,466,1390,1651,1364,1269,1190,787,433,66,3,4148,201,210,681,801,656,581,513,330,152,23,0,4870,198,256,709,850,708,688,677,457,281,43,3
서울특별시 용산구 한남동,1117068500,20422,1127,1140,2614,3824,3272,3187,2831,1522,746,144,15,9865,604,562,1344,1837,1645,1537,1329,666,294,39,8,10557,523,578,1270,1987,1627,1650,1502,856,452,105,7
서울특별시 용산구 서빙고동,1117069000,13027,760,1425,1741,1468,2338,2293,1519,772,616,93,2,6244,388,713,866,735,1083,1131,759,319,213,36,1,6783,372,712,875,733,1255,1162,760,453,403,57,1
서울특별시 용산구 보광동,1117070000,13506,421,743,2108,2058,1927,2441,2010,1158,556,81,3,6728,232,415,1181,1146,978,1184,891,492,180,29,0,6778,189,328,927,912,949,1257,1119,666,376,52,3
서울특별시 성동구 ,1120000000,286599,19307,18960,43701,46926,43412,46281,37744,20106,8963,1146,53,139709,9864,9462,21509,23087,21764,22929,18441,8944,3399,292,18,146890,9443,9498,22192,23839,21648,23352,19303,11162,5564,854,35
서울특별시 성동구 왕십리제2동,1120052000,16462,1184,1102,2410,2859,2502,2658,2113,1115,458,59,2,7970,598,578,1128,1438,1240,1283,1018,480,189,17,1,8492,586,524,1282,1421,1262,1375,1095,635,269,42,1
서울특별시 성동구 왕십리도선동,1120053500,26456,2220,1588,4167,4532,3991,4356,3124,1585,786,106,1,12555,1157,806,1905,2093,1980,2074,1532,708,279,21,0,13901,1063,782,2262,2439,2011,2282,1592,877,507,85,1
서울특별시 성동구 마장동,1120054000,22421,1146,1557,4238,3218,2913,3642,3108,1715,771,109,4,11060,578,770,2151,1660,1479,1778,1540,771,306,27,0,11361,568,787,2087,1558,1434,1864,1568,944,465,82,4
서울특별시 성동구 사근동,1120055000,11992,399,702,4814,1579,1117,1305,981,725,335,33,2,6198,211,320,2622,895,599,631,467,305,137,11,0,5794,188,382,2192,684,518,674,514,420,198,22,2
